CDID,name,count_property,count_fema_sfha,pct_fema_sfha,count_fs_risk_2020_5,pct_fs_risk_2020_5,count_fs_risk_2050_5,pct_fs_risk_2050_5,count_fs_risk_2020_100,pct_fs_risk_2020_100,count_fs_risk_2050_100,pct_fs_risk_2050_100,count_fs_risk_2020_500,pct_fs_risk_2020_500,count_fs_risk_2050_500,pct_fs_risk_2050_500,count_fs_fema_difference_2020,pct_fs_fema_difference_2020,avg_risk_score_all,avg_risk_score_2_10,avg_risk_fsf_2020_100,avg_risk_fsf_2020_500,avg_risk_score_sfha,avg_risk_score_no_sfha,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
101,Alabama Congressional District 1,427620,46774,10.9,19197,4.5,27698,6.5,77314,18.1,86171,20.2,92631,21.7,101551,23.7,30540,7.1,2.29,6.42,7.28,6.74,6.9,1.72,326050,4618,7763,7187,8291,34180,10016,2774,15221,11520
102,Alabama Congressional District 2,440336,21331,4.8,17790,4,18991,4.3,41532,9.4,43290,9.8,49669,11.3,52079,11.8,20201,4.6,1.68,6.76,7.62,6.97,5.65,1.48,388233,2550,3407,5556,2287,11553,6875,1658,9466,8751
103,Alabama Congressional District 3,468500,27831,5.9,25384,5.4,27706,5.9,57950,12.4,60722,13,69325,14.8,72102,15.4,30119,6.4,1.93,7.02,7.86,7.21,6.05,1.67,396326,3018,3656,5557,4060,14883,10561,2848,14918,12673
104,Alabama Congressional District 4,503148,19538,3.9,28037,5.6,29651,5.9,62030,12.3,63451,12.6,75829,15.1,76929,15.3,42492,8.4,1.92,7,7.84,7.09,6.19,1.75,425874,2081,5837,5755,3454,18405,10163,2376,14054,15149
105,Alabama Congressional District 5,372086,18873,5.1,14104,3.8,14738,4,45851,12.3,47164,12.7,61388,16.5,62565,16.8,26978,7.3,1.89,6.31,7.27,6.39,5.27,1.71,309499,1428,6272,7314,3866,18981,8450,1484,8218,6574
106,Alabama Congressional District 6,357707,10949,3.1,15627,4.4,17028,4.8,39875,11.1,41747,11.7,46891,13.1,48695,13.6,28926,8.1,1.79,6.82,7.54,6.99,6.14,1.66,308965,1915,2278,5499,1897,12975,5884,1638,8564,8092
107,Alabama Congressional District 7,428700,41815,9.8,20368,4.8,22403,5.2,61020,14.2,65232,15.2,77557,18.1,80978,18.9,19205,4.5,2,6.32,7.17,6.48,5.55,1.62,347695,3554,5486,12811,3254,25360,7526,1635,10976,10403
401,Arizona Congressional District 1,481478,27487,5.7,11121,2.3,11636,2.4,50544,10.5,50765,10.5,76446,15.9,76349,15.9,23057,4.8,1.71,5.45,6.59,5.49,3.67,1.59,404125,3763,15650,13849,7129,13232,10346,2012,7482,3890
402,Arizona Congressional District 2,370500,25933,7,5838,1.6,5847,1.6,23556,6.4,23619,6.4,35785,9.7,35759,9.7,-2377,-0.6,1.44,5.52,6.65,5.54,2.99,1.32,334443,843,7285,6273,4285,6550,4580,906,3346,1989
403,Arizona Congressional District 3,319298,19336,6.1,3951,1.2,3916,1.2,19355,6.1,19622,6.1,42044,13.2,42188,13.2,19,0,1.49,4.68,6.27,4.72,2.94,1.4,276626,2483,12608,10636,3424,6594,2852,576,2007,1492
404,Arizona Congressional District 4,633095,31785,5,14273,2.3,15118,2.4,61072,9.6,62885,9.9,90361,14.3,92067,14.5,29287,4.6,1.7,5.76,6.95,5.85,3.87,1.58,540243,3545,14421,15515,6745,21231,13152,2314,10104,5825
405,Arizona Congressional District 5,326010,1458,0.4,50,0,59,0,2695,0.8,3016,0.9,11838,3.6,11702,3.6,1237,0.4,1.09,3.46,4.9,3.56,1.17,1.09,313356,2098,5569,3808,179,796,145,18,35,6
406,Arizona Congressional District 6,314337,13705,4.4,1665,0.5,1722,0.5,14490,4.6,15346,4.9,46691,14.9,47664,15.2,785,0.2,1.48,4.14,6.02,4.2,1.48,1.48,266190,3619,17506,13476,2574,7445,1936,458,886,247
407,Arizona Congressional District 7,205602,3994,1.9,32,0,38,0,5506,2.7,5419,2.6,51679,25.1,50687,24.7,1512,0.7,1.6,3.37,5.61,3.37,2.22,1.58,153574,6323,30102,10411,1578,3291,237,33,50,3
408,Arizona Congressional District 8,334319,2971,0.9,466,0.1,459,0.1,15229,4.6,15186,4.5,47318,14.2,46225,13.8,12258,3.7,1.38,3.72,4.88,3.73,3.09,1.37,286887,4762,19378,16609,1242,3954,910,117,350,110
409,Arizona Congressional District 9,235693,2376,1,93,0,106,0,3211,1.4,3358,1.4,13048,5.5,13354,5.7,835,0.4,1.17,4,6,4.05,2.09,1.16,222122,1062,5543,3611,352,2322,456,44,180,1
501,Arkansas Congressional District 1,534332,70887,13.3,29075,5.4,29983,5.6,69768,13.1,71407,13.4,96517,18.1,98524,18.4,-1119,-0.2,1.96,6.21,7.35,6.28,4.09,1.64,435763,4396,11180,15827,5398,21769,10613,2332,14342,12712
